time,T_amb,q_server_kW,T_room,phi_room,X_room,vent_on,ac_on,m_dot_vent,Q_AC_kW,Q_AC_max_kW,m_dot_ac,W_comp_kW,fan_limited,ac_overloaded,n_cycles_cum
8.833333333333334,15.9,4.87,11.140465694179369,0.6401371868465763,0.005321954139172247,False,True,0.0,6.4797397138168655,6.4797397138168655,0.8587917180613981,1.6152470588235295,False,False,2
8.916666666666666,16.15,4.88,10.583600171401184,0.6643053460487752,0.005321954139172247,False,True,0.0,5.591262493523908,5.591262493523908,0.8963525262369748,1.6227176470588234,False,False,2
9.0,16.4,4.9,10.343817771520865,0.6750252540133165,0.005321954139172247,False,True,0.0,5.210047450334826,5.210047450334826,0.9185390860577548,1.6301882352941175,False,False,2
9.083333333333334,16.58,4.92,10.24576342881717,0.6794646200649992,0.005321954139172247,False,True,0.0,5.047578543885741,5.047578543885741,0.9298260736499583,1.6355670588235294,False,False,2
9.166666666666666,16.77,4.93,10.20664280747993,0.6812449002058644,0.005321954139172247,False,True,0.0,4.981036931965237,4.981036931965237,0.9347195696532603,1.641244705882353,False,False,2
9.25,16.95,4.95,10.203440837839995,0.6813908446963755,0.005321954139172247,False,True,0.0,4.954181768729849,4.954181768729849,0.936665289575438,1.6466235294117646,False,False,2
9.333333333333334,17.13,4.97,10.217933027801692,0.6807305755957979,0.005321954139172247,False,True,0.0,4.9510733376055835,4.9510733376055835,0.9366536133775853,1.6520023529411763,False,False,2
9.416666666666666,17.32,4.98,10.233749685725186,0.68001078039886,0.005321954139172247,False,True,0.0,4.9593553745549785,4.9593553745549785,0.9356146291922082,1.65768,False,False,2
9.5,17.5,5.0,10.257976667770029,0.6789098935981884,0.005321954139172247,False,True,0.0,4.968397396953337,4.968397396953337,0.934487835342475,1.6630588235294117,False,False,2
9.583333333333334,17.67,5.0,10.271254644733492,0.6783073816629644,0.005321954139172247,False,True,0.0,4.982695192045579,4.982695192045579,0.9328588601343824,1.6681388235294117,False,False,2
9.666666666666666,17.83,5.0,10.278981900594738,0.6779570191214526,0.005321954139172247,False,True,0.0,4.989934809397252,4.989934809397252,0.9318610291964372,1.67292,False,False,2
9.75,18.0,5.0,10.283972270580321,0.6777308577358003,0.005321954139172247,False,True,0.0,4.993502255524949,4.993502255524949,0.9311622305531937,1.678,False,False,2
9.833333333333334,18.17,5.0,10.287577425549353,0.6775675262261228,0.005321954139172247,False,True,0.0,4.995307285521787,4.995307285521787,0.9306190827442018,1.6828,False,False,2
9.916666666666666,18.33,5.0,10.290428415479395,0.6774383933522254,0.005321954139172247,False,True,0.0,4.996289879321656,4.996289879321656,0.9301675028532905,1.6873176470588234,False,False,2
10.0,18.5,5.0,10.292965426162443,0.6773235050313361,0.005321954139172247,False,True,0.0,4.996699246277938,4.996699246277938,0.929742410892863,1.6921176470588233,False,False,2
10.083333333333334,18.62,4.98,10.279672166535395,0.6779257315374682,0.005321954139172247,False,True,0.0,4.99729187922604,4.99729187922604,0.9294069882707516,1.695505882352941,False,False,2
10.166666666666666,18.73,4.97,10.26557055116734,0.6785652342747608,0.005321954139172247,False,True,0.0,4.988350178442324,4.988350178442324,0.9300798832907264,1.6986117647058823,False,False,2
10.25,18.85,4.95,10.243348984063145,0.6795743444213342,0.005321954139172247,False,True,0.0,4.978928125170565,4.978928125170565,0.9308092606509671,1.702,False,False,2
10.333333333333334,18.97,4.93,10.216690516285924,0.6807871567685698,0.005321954139172247,False,True,0.0,4.964728507899238,4.964728507899238,0.9320882104303051,1.705388235294118,False,False,2
10.416666666666666,19.08,4.92,10.195149098323183,0.68176894152106,0.005321954139172247,False,True,0.0,4.948087465159642,4.948087465159642,0.9337112032468822,1.7084941176470585,False,False,2
10.5,19.2,4.9,10.168638429544744,0.6829793836800314,0.005321954139172247,False,True,0.0,4.9345917461333695,4.9345917461333695,0.9350255674827319,1.7118823529411764,False,False,2
10.583333333333334,19.28,4.88,10.139168872083927,0.6843277485085931,0.005321954139172247,False,True,0.0,4.9184890956652785,4.9184890956652785,0.9367546016723235,1.714141176470588,False,False,2
10.666666666666666,19.37,4.87,10.11567219691077,0.6854049619455646,0.005321954139172247,False,True,0.0,4.900721301085954,4.900721301085954,0.938722853817811,1.7166823529411765,False,False,2
10.75,19.45,4.85,10.08767897586358,0.6866907991268556,0.005321954139172247,False,True,0.0,4.886632566552245,4.886632566552245,0.9403234173157305,1.718941176470588,False,False,2
10.833333333333334,19.53,4.83,10.057131084711427,0.6880970636036632,0.005321954139172247,False,True,0.0,4.87001862915674,4.87001862915674,0.9422826548096832,1.7212,False,False,2
10.916666666666666,19.62,4.82,10.032715077915286,0.6892233659723062,0.005321954139172247,False,True,0.0,4.852024072962324,4.852024072962324,0.9444718330089458,1.7237411764705883,False,False,2
