time,T_amb,q_server_kW,T_room,phi_room,X_room,vent_on,ac_on,m_dot_vent,Q_AC_kW,Q_AC_max_kW,m_dot_ac,W_comp_kW,fan_limited,ac_overloaded,n_cycles_cum
0.0,6.8,2.2,14.997805479513115,0.5224888601319025,0.005592678116876895,True,False,0.2648585941694955,0.0,0.0,0.0,0.0,False,False,0
0.08333333333333333,6.72,2.18,14.998470182012685,0.46893683942141656,0.005015056566692442,True,False,0.2599258237976606,0.0,0.0,0.0,0.0,False,False,0
0.16666666666666666,6.63,2.17,14.998927993183873,0.43142525899761697,0.004611051138220644,True,False,0.2559633007375251,0.0,0.0,0.0,0.0,False,False,0
0.25,6.55,2.15,14.99924398234335,0.4049829942211795,0.004326560442470313,True,False,0.2512135010868613,0.0,0.0,0.0,0.0,False,False,0
0.3333333333333333,6.47,2.13,14.999463438276626,0.38607598070824156,0.004123290563462527,True,False,0.24655254472103572,0.0,0.0,0.0,0.0,False,False,0
0.4166666666666667,6.38,2.12,14.999617257812073,0.3722223116897807,0.0039744276374255195,True,False,0.24284395017548502,0.0,0.0,0.0,0.0,False,False,0
0.5,6.3,2.1,14.999725287199665,0.36196855723315036,0.0038642893785419403,True,False,0.23835057456590586,0.0,0.0,0.0,0.0,False,False,0
0.5833333333333334,6.22,2.08,14.99980162017184,0.3542095041514342,0.0037809707715135417,True,False,0.23393884629225317,0.0,0.0,0.0,0.0,False,False,0
0.6666666666666666,6.13,2.07,14.999856052542915,0.3481085415775083,0.0037154708024411624,True,False,0.23046217785894008,0.0,0.0,0.0,0.0,False,False,0
0.75,6.05,2.05,14.999894931094458,0.3432563941147729,0.0036633865326730097,True,False,0.22620432699302037,0.0,0.0,0.0,0.0,False,False,0
0.8333333333333334,5.97,2.03,14.999922862454362,0.3392860853760532,0.0036207735049196598,True,False,0.22202169593884835,0.0,0.0,0.0,0.0,False,False,0
0.9166666666666666,5.88,2.02,14.99994311125322,0.3358724574440168,0.0035841389343570173,True,False,0.21875738163905675,0.0,0.0,0.0,0.0,False,False,0
1.0,5.8,2.0,14.999957808378715,0.33292883355490466,0.003552551112616866,True,False,0.21471638599648749,0.0,0.0,0.0,0.0,False,False,0
1.0833333333333333,5.72,2.0,14.999968628334976,0.3303015094099103,0.0035243596002811866,True,False,0.21287358641774248,0.0,0.0,0.0,0.0,False,False,0
1.1666666666666667,5.63,2.0,14.999976607416922,0.32785315346591515,0.0034980902139514648,True,False,0.210837994260788,0.0,0.0,0.0,0.0,False,False,0
1.25,5.55,2.0,14.999982513955924,0.3255922903911015,0.003473834119860007,True,False,0.20906108061415368,0.0,0.0,0.0,0.0,False,False,0
1.3333333333333333,5.47,2.0,14.999986897320108,0.323471404310002,0.0034510812298284145,True,False,0.20731395467167316,0.0,0.0,0.0,0.0,False,False,0
1.4166666666666667,5.38,2.0,14.999990155453927,0.3214031035615189,0.0034288938319846207,True,False,0.20538311878330678,0.0,0.0,0.0,0.0,False,False,0
1.5,5.3,2.0,14.999992586043469,0.31942829723511484,0.003407710692233014,True,False,0.20369685348765054,0.0,0.0,0.0,0.0,False,False,0
1.5833333333333335,5.22,2.0,14.999994403626577,0.31752485318515095,0.003387294270232465,True,False,0.20203813261945883,0.0,0.0,0.0,0.0,False,False,0
1.6666666666666665,5.13,2.0,14.999995764816953,0.315625591657978,0.003366923935302722,True,False,0.20020416233520402,0.0,0.0,0.0,0.0,False,False,0
1.75,5.05,2.0,14.99999678777419,0.3137822460649762,0.00334715452190869,True,False,0.19860177525675007,0.0,0.0,0.0,0.0,False,False,0
1.8333333333333335,4.97,2.0,14.999997558296059,0.3119826655285503,0.0033278556316797304,True,False,0.19702490908163975,0.0,0.0,0.0,0.0,False,False,0
1.9166666666666665,4.88,2.0,14.999998139478535,0.31016874733929845,0.003308404144550867,True,False,0.1952806868986441,0.0,0.0,0.0,0.0,False,False,0
2.0,4.8,2.0,14.99999857931478,0.3083950331680243,0.0032893849251567795,True,False,0.19375606578756044,0.0,0.0,0.0,0.0,False,False,0
2.0833333333333335,4.72,2.0,14.999998912903044,0.30665350346673803,0.0032707119178462187,True,False,0.19225513554441637,0.0,0.0,0.0,0.0,False,False,0
2.1666666666666665,4.63,2.0,14.999999166236023,0.30489082107364374,0.003251813224479924,True,False,0.1905942246906524,0.0,0.0,0.0,0.0,False,False,0
2.25,4.55,2.0,14.999999359239318,0.3031613258175163,0.003233271446869422,True,False,0.18914183716626728,0.0,0.0,0.0,0.0,False,False,0
2.3333333333333335,4.47,2.0,14.999999506584036,0.3014588447530183,0.003215020350924394,True,False,0.1877114813778017,0.0,0.0,0.0,0.0,False,False,0
2.4166666666666665,4.38,2.0,14.999999619207713,0.2997330644739792,0.0031965205600866997,True,False,0.18612804633114743,0.0,0.0,0.0,0.0,False,False,0
2.5,4.3,2.0,14.999999705557592,0.29803700609299344,0.00317834043949393,True,False,0.1847428727111578,0.0,0.0,0.0,0.0,False,False,0
2.5833333333333335,4.22,2.02,14.999999772475148,0.2963507682060879,0.0031602666292391045,True,False,0.18521200533531318,0.0,0.0,0.0,0.0,False,False,0
2.6666666666666665,4.13,2.03,14.999999824033239,0.2946366398439233,0.0031418949446363753,True,False,0.18459496540804743,0.0,0.0,0.0,0.0,False,False,0
2.75,4.05,2.05,14.999999863995807,0.2929403325739753,0.0031237153235473296,True,False,0.18505804715438592,0.0,0.0,0.0,0.0,False,False,0
2.8333333333333335,3.97,2.07,14.999999894949573,0.29125976829215544,0.0031057054636325675,True,False,0.18551449949825938,0.0,0.0,0.0,0.0,False,False,0
2.9166666666666665,3.88,2.08,14.999999918789973,0.2895562668845688,0.0030874508542054827,True,False,0.18490902924364214,0.0,0.0,0.0,0.0,False,False,0
3.0,3.8,2.1,14.999999937259389,0.28787401288016645,0.0030694249757592146,True,False,0.18535976226889048,0.0,0.0,0.0,0.0,False,False,0
3.0833333333333335,3.72,2.12,14.999999951558342,0.2862101280873874,0.003051596950983979,True,False,0.18580418587351305,0.0,0.0,0.0,0.0,False,False,0
3.1666666666666665,3.63,2.13,14.99999996256751,0.2845256637593501,0.0030335494578536074,True,False,0.1852098732231961,0.0,0.0,0.0,0.0,False,False,0
3.25,3.55,2.15,14.999999971092343,0.28286390049612864,0.003015746206558585,True,False,0.1856488833193808,0.0,0.0,0.0,0.0,False,False,0
3.3333333333333335,3.47,2.17,14.999999977689209,0.28122159968267346,0.0029981524616944054,True,False,0.18608188145818236,0.0,0.0,0.0,0.0,False,False,0
3.4166666666666665,3.38,2.18,14.999999982766631,0.2795598772250511,0.0029803516631924597,True,False,0.18549833470129193,0.0,0.0,0.0,0.0,False,False,0
3.5,3.3,2.2,14.999999986696487,0.27792139187487713,0.0029628007791305646,True,False,0.1859262019339596,0.0,0.0,0.0,0.0,False,False,0
3.5833333333333335,3.22,2.25,14.999999989772142,0.2762836244628063,0.0029452585702629255,True,False,0.18886655494018806,0.0,0.0,0.0,0.0,False,False,0
3.6666666666666665,3.13,2.3,14.999999992166666,0.27460578695394433,0.002927288189627361,True,False,0.19160668871564768,0.0,0.0,0.0,0.0,False,False,0
3.75,3.05,2.35,14.999999994024442,0.27294330556508994,0.0029094832990230616,True,False,0.1944676635250529,0.0,0.0,0.0,0.0,False,False,0
3.8333333333333335,2.97,2.4,14.9999999954595,0.2712956321940528,0.0028918380006900954,True,False,0.1972908160741926,0.0,0.0,0.0,0.0,False,False,0
3.9166666666666665,2.88,2.45,14.999999996562492,0.2696178109824406,0.002873870866370547,True,False,0.1999126023299213,0.0,0.0,0.0,0.0,False,False,0
4.0,2.8,2.5,14.999999997407484,0.2679643660496849,0.0028561657788467093,True,False,0.20266116893201377,0.0,0.0,0.0,0.0,False,False,0
4.083333333333333,2.72,2.58,14.999999998058675,0.26631590573610414,0.0028385150653317307,True,False,0.20779030856087674,0.0,0.0,0.0,0.0,False,False,0
4.166666666666667,2.63,2.67,14.99999999855777,0.26462384619514784,0.0028203985547550882,True,False,0.21348172553975137,0.0,0.0,0.0,0.0,False,False,0
4.25,2.55,2.75,14.999999998935973,0.26295510386719667,0.002802532725336776,True,False,0.2184720649291787,0.0,0.0,0.0,0.0,False,False,0
