,refrigerant,c_d_mm,status,SEER_year,cost_CHF_year,E_total_kWh_year,T_room_std_year,n_cycles_year,n_fan_limited_year,n_ac_overload_year,n_T_high_year
1,R290,40,PASS,4.468,1811.5,7246.04,1.7538,3655.0,0.0,0.0,18705.0
2,DME,50,PASS,4.231,1918.8,7675.23,1.7919,3746.0,0.0,0.0,18796.0
3,R1234yf,50,PASS,4.001,2032.4,8129.65,1.8212,3837.0,0.0,0.0,18887.0
4,R290,30,FAIL (overload),,,,,,,,
5,R290,50,FAIL (fan_limited),,,,,,,,
6,R1234yf,30,FAIL (overload),,,,,,,,
7,R1234yf,40,FAIL (overload),,,,,,,,
8,DME,30,FAIL (overload),,,,,,,,
9,DME,40,FAIL (overload),,,,,,,,
