time,T_amb,q_server_kW,T_room,phi_room,X_room,vent_on,ac_on,m_dot_vent,Q_AC_kW,Q_AC_max_kW,m_dot_ac,W_comp_kW,W_fan_kW,W_el_kW,COP_eff,fan_limited,ac_overloaded,n_cycles_cum
0.0,25.5,2.2,14.996831787906203,0.6001224486782688,0.006431847563044655,False,False,0.0,0.0,6.505705882352942,0.0,0.0,0.0,0.0,,False,False,0
0.08333333333333333,25.42,2.18,18.00580731529638,0.4955124558837597,0.006431847563044655,False,False,0.0,0.0,6.514402352941176,0.0,0.0,0.0,0.0,,False,False,0
0.16666666666666666,25.33,2.17,20.987428519710274,0.4116466565623139,0.006431847563044655,False,True,0.0,6.524185882352942,6.524185882352942,0.34934192306886913,2.2562289333909082,0.01210939322060427,2.2683383266115125,3.4110077458850867,False,False,1
0.25,25.25,2.15,17.188492142966794,0.49214367979837437,0.006063399712584168,False,True,0.0,6.5328823529411775,6.5328823529411775,0.4708298253747801,2.259706637161021,0.01838641006696039,2.2780930472279812,3.385083972213682,False,False,1
0.3333333333333333,25.17,2.13,13.490856937511818,0.5952541534715049,0.005780578558264896,False,True,0.0,6.1014802177002565,6.101480217700257,0.649136218462959,2.22454350703069,0.03262980011393488,2.2571733071446247,3.110032285621353,False,False,1
0.4166666666666667,25.08,2.12,10.3611297279166,0.7090170496054172,0.005598888962200819,False,True,0.0,3.3970559277311483,3.3970559277311483,0.5898262319726434,1.985380138941301,0.08663526698355983,2.0720154059248608,1.694620077750287,False,False,1
0.5,25.0,2.1,9.339678071790644,0.749995337216568,0.005529608429839743,False,False,0.0,0.0,3.0840154135252127,0.0,0.0,0.0,0.0,,False,False,1
0.5833333333333334,24.92,2.08,12.216640685563677,0.6192268224856121,0.005529608429839743,False,False,0.0,0.0,5.015119463007087,0.0,0.0,0.0,0.0,,False,False,1
0.6666666666666666,24.83,2.07,15.066203655396013,0.5143781170968051,0.005529608429839743,False,False,0.0,0.0,6.578538823529412,0.0,0.0,0.0,0.0,,False,False,1
0.75,24.75,2.05,17.902066803258005,0.429410592822194,0.005529608429839743,False,True,0.0,6.587235294117647,6.587235294117647,0.49721809821177915,2.276412733226433,0.015416639461705893,2.291829372688139,3.448746710406459,False,False,2
0.8333333333333334,24.67,2.03,13.483997683692825,0.5671159961252633,0.0055024250732566135,False,True,0.0,6.142892521734316,6.142892521734316,0.7069167499054457,2.2389798735893787,0.031126974916109284,2.270106848505488,3.151748485959506,False,False,2
0.9166666666666666,24.58,2.02,9.940713386397984,0.7145940166166552,0.005485370382346904,False,False,0.0,0.0,3.0840154135252127,0.0,0.0,0.0,0.0,,False,False,2
1.0,24.5,2.0,12.708302251704511,0.5947866442880269,0.005485370382346904,False,False,0.0,0.0,5.474360510353213,0.0,0.0,0.0,0.0,,False,False,2
1.0833333333333333,24.42,2.0,15.44848924705751,0.49791243696463944,0.005485370382346904,False,False,0.0,0.0,6.623108235294117,0.0,0.0,0.0,0.0,,False,False,2
1.1666666666666667,24.33,2.0,18.188676242410505,0.4183950303885202,0.005485370382346904,False,True,0.0,6.6328917647058825,6.6328917647058825,0.4939856979139792,2.2820084810059513,0.014530329982083597,2.296538810988035,3.4954808571758598,False,False,3
1.25,24.25,2.0,13.6115336635497,0.5601826523621338,0.005480308967102518,False,True,0.0,6.296088915112186,6.296088915112186,0.7184511681760831,2.2482457336684107,0.02951343618739947,2.2777591698558104,3.2495122995713306,False,False,3
1.3333333333333333,24.17,2.0,9.899216147211764,0.7155107917237926,0.005477074197685618,False,False,0.0,0.0,3.084015413525213,0.0,0.0,0.0,0.0,,False,False,3
1.4166666666666667,24.08,2.0,12.63944489213625,0.5965836415019822,0.005477074197685618,False,False,0.0,0.0,5.443714002132053,0.0,0.0,0.0,0.0,,False,False,3
1.5,24.0,2.0,15.379673637060737,0.499367237473353,0.005477074197685618,False,False,0.0,0.0,6.668764705882354,0.0,0.0,0.0,0.0,,False,False,3
1.5833333333333335,23.92,2.0,18.119902381985217,0.41957714151607495,0.005477074197685618,False,True,0.0,6.6774611764705885,6.6774611764705885,0.5006952016207394,2.2728057872758476,0.014613131281268418,2.287418918557116,3.5376223186364686,False,False,4
1.6666666666666665,23.83,2.0,13.507424516511039,0.5635683226381513,0.005476129591326581,False,True,0.0,6.243529103181252,6.243529103181252,0.7220397973999673,2.2299654417889228,0.03040284348012378,2.2603682852690463,3.238289803792977,False,False,4
1.75,23.75,2.0,9.841710119511871,0.7180760797882552,0.0054755353541068785,False,False,0.0,0.0,3.0840154135252122,0.0,0.0,0.0,0.0,,False,False,4
1.8333333333333335,23.67,2.0,12.581946608625168,0.5986724807346266,0.0054755353541068785,False,False,0.0,0.0,5.42107873777146,0.0,0.0,0.0,0.0,,False,False,4
1.9166666666666665,23.58,2.0,15.322183097738465,0.5010750447689635,0.0054755353541068785,False,False,0.0,0.0,6.714421176470587,0.0,0.0,0.0,0.0,,False,False,4
2.0,23.5,2.0,18.062419586851764,0.4209789395441585,0.0054755353541068785,False,True,0.0,6.723117647058822,6.723117647058823,0.5064850972411267,2.263328705536332,0.014682338536588853,2.278011044072921,3.580867022441914,False,False,5
2.0833333333333335,23.43,2.0,13.41954125428753,0.5667276498489071,0.005475361819546173,False,True,0.0,6.201535641922299,6.201535641922299,0.7248316059980322,2.213347171272773,0.03116351702411575,2.244510688296889,3.2314799588715344,False,False,5
2.1666666666666665,23.37,2.0,9.794791962792354,0.7203038253324019,0.00547525414333532,False,False,0.0,0.0,3.084015413525213,0.0,0.0,0.0,0.0,,False,False,5
2.25,23.3,2.0,12.535029867096005,0.6004889896889595,0.00547525414333532,False,False,0.0,0.0,5.404102259305771,0.0,0.0,0.0,0.0,,False,False,5
2.3333333333333335,23.23,2.0,15.275267771399658,0.5025622970124506,0.00547525414333532,False,False,0.0,0.0,6.752468235294117,0.0,0.0,0.0,0.0,,False,False,5
2.4166666666666665,23.17,2.0,18.01550567570331,0.4222014558909596,0.00547525414333532,False,True,0.0,6.758990588235294,6.758990588235294,0.5110503506822575,2.2558469761201385,0.014738821228834303,2.2705857973489727,3.614816105896448,False,False,6
2.5,23.1,2.0,13.350113974946941,0.5692857854260586,0.00547522269736521,False,True,0.0,6.168284935293559,6.168284935293559,0.7269694144269498,2.1997972948104194,0.03177183500692121,2.231569129817341,3.2263298177124264,False,False,6
2.5833333333333335,23.02,2.02,9.758295469542546,0.722064062390629,0.005475203395477523,False,False,0.0,0.0,3.0840154135252127,0.0,0.0,0.0,0.0,,False,False,6
2.6666666666666665,22.93,2.03,12.52593601083135,0.6008422084736149,0.005475203395477523,False,False,0.0,0.0,5.421178492872539,0.0,0.0,0.0,0.0,,False,False,6
2.75,22.85,2.05,15.307277742918613,0.5015249887166425,0.005475203395477523,False,False,0.0,0.0,6.793776470588235,0.0,0.0,0.0,0.0,,False,False,6
2.8333333333333335,22.77,2.07,18.1160218566028,0.41953739778268234,0.005475203395477523,False,True,0.0,6.802472941176471,6.802472941176471,0.5104013531213193,2.2258985985120106,0.015129426412174607,2.241028024924185,3.6572279691582192,False,False,7
2.9166666666666665,22.68,2.08,13.474711977155295,0.5646759417429114,0.00547519778972498,False,True,0.0,6.322656377199963,6.322656377199963,0.7342128458004771,2.1783881565328,0.03184417689506285,2.210232333427863,3.3254803546665754,False,False,7
3.0,22.6,2.1,9.834096730834919,0.7183986277276883,0.005475194322988396,False,False,0.0,0.0,3.0840154135252122,0.0,0.0,0.0,0.0,,False,False,7
3.0833333333333335,22.53,2.12,12.711346846451505,0.5935743376888153,0.005475194322988396,False,False,0.0,0.0,5.62220679741899,0.0,0.0,0.0,0.0,,False,False,7
3.1666666666666665,22.47,2.13,15.615999344121581,0.4916856570633829,0.005475194322988396,False,False,0.0,0.0,6.835084705882353,0.0,0.0,0.0,0.0,,False,False,7
3.25,22.4,2.15,18.534353032818405,0.4086660211330261,0.005475194322988396,False,True,0.0,6.842694117647059,6.842694117647059,0.49755088868509495,2.1952559164013845,0.015172708384158094,2.2104286247855427,3.6991896436194005,False,False,8
3.3333333333333335,22.33,2.17,13.895505868205493,0.5494219915774329,0.005475193349223006,False,True,0.0,6.751914777722382,6.751914777722382,0.7469718222652717,2.1801977525657246,0.0294278267229389,2.2096255792886637,3.571190506434478,False,False,8
3.4166666666666665,22.27,2.18,9.992682355352128,0.7107994702380329,0.005475192719096876,False,False,0.0,0.0,3.0840154135252127,0.0,0.0,0.0,0.0,,False,False,8
3.5,22.2,2.2,12.979542007980694,0.5832363180209226,0.005475192719096876,False,False,0.0,0.0,5.900021664109382,0.0,0.0,0.0,0.0,,False,False,8
3.5833333333333335,22.13,2.25,15.993804042743468,0.47993893283374567,0.005475192719096876,False,False,0.0,0.0,6.872129411764705,0.0,0.0,0.0,0.0,,False,False,8
3.6666666666666665,22.07,2.3,19.07657203284176,0.3950440068410874,0.005475192719096876,False,True,0.0,6.878694117647059,6.878694117647059,0.4809025725365544,2.149840320276817,0.015480535027683222,2.1653208553045,3.7414171142069894,False,False,9
3.75,22.0,2.35,14.503629458603138,0.5281874921085279,0.005475192550962789,False,True,0.0,6.886352941176471,6.886352941176471,0.7130956687992316,2.136657826400648,0.029217356298430287,2.1658751826990783,3.6715348366687337,False,False,9
3.8333333333333335,21.93,2.4,10.562918389994708,0.6842094376000938,0.005475192439945991,False,True,0.0,3.620194666498297,3.620194666498297,0.6404382454519362,1.8799182555769922,0.09051939159161583,1.970437647168608,1.8877470591920513,False,False,9
3.9166666666666665,21.87,2.45,9.456642939161434,0.7368531982975977,0.005475192401387445,False,False,0.0,0.0,3.0840154135252127,0.0,0.0,0.0,0.0,,False,False,9
4.0,21.8,2.5,12.81343475256041,0.589615036632161,0.005475192401387445,False,False,0.0,0.0,5.773813691898006,0.0,0.0,0.0,0.0,,False,False,9
4.083333333333333,21.73,2.58,16.238732521334875,0.47249207013482825,0.005475192401387445,False,True,0.0,6.915894117647059,6.915894117647059,0.6055904725481571,2.0830182864300855,0.025605834696168322,2.1086241211262537,3.7382022339713856,False,False,10
4.166666666666667,21.67,2.67,12.225043095784008,0.6128471694470035,0.0054751923861251165,False,True,0.0,5.219190915522079,5.219190915522079,0.7109037023852561,1.9517245974288753,0.058624475133796046,2.010349072562671,2.7691693687859034,False,False,10
4.25,21.6,2.75,10.007739866767341,0.7100826039811683,0.005475192378879959,False,True,0.0,3.091457493240494,3.091457493240494,0.607532553739398,1.8017442887711184,0.12804247514834205,1.9297867639194604,1.6080932838992326,False,False,10
4.333333333333333,21.53,2.83,9.69202409185881,0.7252833333298548,0.005475192376433686,False,False,0.0,0.0,3.0840154135252127,0.0,0.0,0.0,0.0,,False,False,10
4.416666666666667,21.47,2.92,13.569461166289202,0.5611998138436969,0.005475192376433686,False,False,0.0,0.0,6.528836138540026,0.0,0.0,0.0,0.0,,False,False,10
4.5,21.4,3.0,17.57020896040113,0.434211787094849,0.005475192376433686,False,True,0.0,6.952,6.952,0.5442711347982719,2.0076949333333336,0.024000085511659257,2.0316950188449927,3.805122520801909,False,False,11
4.583333333333333,21.35,3.08,13.77379980259966,0.5537856330759819,0.005475192375456424,False,True,0.0,6.7384265069500975,6.7384265069500975,0.755820751570572,1.9831364101612574,0.04320977756805056,2.026346187729308,3.616999209281821,False,False,11
4.666666666666667,21.3,3.17,10.673459572676187,0.6791847975511798,0.005475192374895264,False,True,0.0,3.737090335214173,3.737090335214173,0.6482367785061268,1.8028615512957857,0.11470101969864123,1.917562570994427,1.9703094357163118,False,False,11
4.75,21.25,3.25,10.161687421818584,0.7028000669751765,0.005475192374716322,False,True,0.0,3.2410299213611924,3.2410299213611924,0.6179301352328423,1.769764705882353,0.1419279056633623,1.9116926115457151,1.6989883240131327,False,False,11
4.833333333333333,21.2,3.33,10.169929829844522,0.7024125214194642,0.005475192374645884,False,True,0.0,3.2492665203084097,3.2492665203084092,0.6185128451054487,1.7683529411764707,0.14182312798224106,1.9101760691587117,1.7048160597424842,False,False,11
4.916666666666667,21.15,3.42,10.244088224907996,0.698936442377907,0.0054751923746160685,False,True,0.0,3.3217169191606866,3.3217169191606866,0.6233624895031393,1.7669411764705882,0.14085863377970376,1.907799810250292,1.746018336018839,False,False,11
5.0,21.1,3.5,10.3341059291581,0.694742822233251,0.005475192374603403,False,True,0.0,3.4098361935316475,3.4098361935316475,0.6291003350136182,1.7655294117647058,0.13969017649080562,1.9052195882555114,1.7959157393980285,False,False,11
5.083333333333333,21.08,3.58,10.416405141378949,0.6909334126167498,0.005475192374598055,False,True,0.0,3.490322350378939,3.490322350378939,0.6341652387699128,1.764964705882353,0.138620888866072,1.903585594748425,1.8408369494551404,False,False,11
5.166666666666667,21.07,3.67,10.498014134984636,0.6871790237944916,0.005475192374595817,False,True,0.0,3.5700884729589633,3.5700884729589637,0.639029876266438,1.7646823529411764,0.13755997651218874,1.902242329453365,1.885101640107562,False,False,11
5.25,21.05,3.75,10.588673605843015,0.6830350227020517,0.005475192374594887,False,True,0.0,3.6588962060710086,3.6588962060710086,0.6443018519759077,1.7641176470588236,0.13638398153637277,1.9005016285951963,1.9346583320374553,False,False,11
5.333333333333333,21.03,3.83,10.671082566681655,0.6792924084033942,0.005475192374594502,False,True,0.0,3.7397414198986274,3.739741419898627,0.6489685344755679,1.7635529411764708,0.1353165809346395,1.8988695221111103,1.9798502410175003,False,False,11
5.416666666666667,21.02,3.92,10.752501334953726,0.6756172950394933,0.005475192374594346,False,True,0.0,3.819502892155969,3.8195028921559686,0.6534286181741817,1.7632705882352941,0.1342605273064172,1.8975311155417114,2.0241646028632654,False,False,11
5.5,21.0,4.0,10.84291669855188,0.6715621515166883,0.005475192374594282,False,True,0.0,3.908335113294296,3.908335113294296,0.6582792050405653,1.7627058823529411,0.1330911681294991,1.8957970504824402,2.0738106183604788,False,False,11
5.583333333333333,21.0,4.03,10.925149555238267,0.6678976454663514,0.005475192374594256,False,True,0.0,3.9887536930321668,3.9887536930321668,0.6625000857077851,1.762705882352941,0.13202270732529417,1.894728589678235,2.118201575541276,False,False,11
5.666666666666667,21.0,4.07,10.962059570660479,0.666260124810779,0.005475192374594246,False,True,0.0,4.024849374709349,4.024849374709349,0.6643567582157841,1.7627058823529411,0.13154313132185272,1.8942490136747938,2.138126347465455,False,False,11
5.75,21.0,4.1,11.002419167900742,0.6644747056897862,0.005475192374594242,False,True,0.0,4.064318531195453,4.064318531195453,0.666360819048204,1.7627058823529411,0.13101873451183826,1.8937246168647794,2.1599132733381556,False,False,11
5.833333333333333,21.0,4.13,11.034276700850157,0.6630691818742833,0.0054751923745942396,False,True,0.0,4.0954732016882325,4.0954732016882325,0.6679237770482042,1.7627058823529411,0.13060480598440147,1.8933106883373425,2.1771106131610516,False,False,11
5.916666666666667,21.0,4.17,11.065074900469915,0.6617135587770681,0.005475192374594239,False,True,0.0,4.125591910580348,4.125591910580348,0.6694191538812801,1.7627058823529411,0.13020464149468558,1.8929105238476267,2.193736103453579,False,False,11
6.0,21.0,4.2,11.104652384405238,0.6599760580816683,0.005475192374594239,False,True,0.0,4.164296209274667,4.164296209274667,0.6713186472493292,1.7627058823529413,0.1296904067712682,1.8923962891242097,2.215100828765225,False,False,11
6.083333333333333,21.07,4.23,11.136436799503988,0.6585843810870899,0.005475192374594239,False,True,0.0,4.193203432867365,4.193203432867365,0.6724774149747538,1.7646823529411764,0.1292487908309038,1.8939311437720803,2.2287082748592684,False,False,11
6.166666666666667,21.13,4.27,11.169171676912093,0.6571545221194486,0.005475192374594239,False,True,0.0,4.223234596542945,4.223234596542945,0.6736997511286427,1.7663764705882354,0.12879738453806536,1.8951738551263009,2.2432382252057073,False,False,11
6.25,21.2,4.3,11.210745068211178,0.6553436052350362,0.005475192374594239,False,True,0.0,4.26142471674911,4.26142471674911,0.6752415429332898,1.7683529411764707,0.1282247612222169,1.8965777023986876,2.2618862655323793,False,False,11
6.333333333333333,21.27,4.33,11.24500651331416,0.6538553929373239,0.005475192374594239,False,True,0.0,4.292359011105175,4.292359011105175,0.6764118067544669,1.770329411764706,0.12774575830926474,1.8980751700739706,2.27649880035502,False,False,11
6.416666666666667,21.33,4.37,11.278415127768625,0.6524078684154427,0.005475192374594239,False,True,0.0,4.322685704821749,4.322685704821749,0.6775660985489358,1.7720235294117646,0.12728081614575176,1.8993043455575163,2.291087237730646,False,False,11
